"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2025-03-07","all EP passes",Meetings,"Lobbyfacts URL"
56047191389-84,Fleishman-Hillard,45,11345000,"Advances interests of their clients",BELGIUM,BELGIUM,58,753,59,https://www.lobbyfacts.eu/datacard/fleishman-hillard?rid=56047191389-84
623948853077-20,"Veracel Celulose SA",0.1,10000000,"Promotes their own interests or the collective interests of their members",BRAZIL,BRAZIL,,,1,https://www.lobbyfacts.eu/datacard/veracel-celulose-sa?rid=623948853077-20
64879142323-90,"European Chemical Industry Council",42.55,10000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,14,323,184,https://www.lobbyfacts.eu/datacard/european-chemical-industry-council?rid=64879142323-90
28666427835-74,"Meta Platforms Ireland Limited and its various subsidiaries",18.45,9000000,"Promotes their own interests or the collective interests of their members",IRELAND,BELGIUM,10,73,242,https://www.lobbyfacts.eu/datacard/meta-platforms-ireland-limited-and-its-various-subsidiaries?rid=28666427835-74
701695849557-16,"Federation of Employers of Ukraine",0.25,9000000,"Promotes their own interests or the collective interests of their members",UKRAINE,UKRAINE,,,3,https://www.lobbyfacts.eu/datacard/federation-of-employers-of-ukraine?rid=701695849557-16
29896393398-67,"FTI Consulting Belgium",54.5,8180000,"Advances interests of their clients","UNITED STATES",BELGIUM,55,506,88,https://www.lobbyfacts.eu/datacard/fti-consulting-belgium?rid=29896393398-67
0801162959-21,"Microsoft Corporation",6.7,7000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,7,67,222,https://www.lobbyfacts.eu/datacard/microsoft-corporation?rid=0801162959-21
9155503593-86,"Burson Cohn & Wolfe SRL",31.25,6735000,"Advances interests of their clients",BELGIUM,BELGIUM,17,558,10,https://www.lobbyfacts.eu/datacard/burson-cohn--wolfe-srl?rid=9155503593-86
588327811384-96,"Apple Inc.",8.3,6500000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,10,73,117,https://www.lobbyfacts.eu/datacard/apple-inc?rid=588327811384-96
165838227131-07,"Rud Pedersen Public Affairs Brussels",53.5,6045000,"Advances interests of their clients",BELGIUM,BELGIUM,35,247,33,https://www.lobbyfacts.eu/datacard/rud-pedersen-public-affairs-brussels?rid=165838227131-07
1078390517-54,"Kreab Worldwide",30,6035000,"Advances interests of their clients",SWEDEN,BELGIUM,27,347,102,https://www.lobbyfacts.eu/datacard/kreab-worldwide?rid=1078390517-54
03181945560-59,Google,7.15,6000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,16,120,390,https://www.lobbyfacts.eu/datacard/google?rid=03181945560-59
33213703459-54,"Insurance Europe",35,6000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,13,270,96,https://www.lobbyfacts.eu/datacard/insurance-europe?rid=33213703459-54
3523776801-85,"Bayer AG",22.05,6000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,10,119,60,https://www.lobbyfacts.eu/datacard/bayer-ag?rid=3523776801-85
380968996254-73,"Simon-Kucher & Partners B.V.",1.3,6000000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/simon-kucher--partners-bv?rid=380968996254-73
3978240953-79,BUSINESSEUROPE,31,6000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,22,297,475,https://www.lobbyfacts.eu/datacard/businesseurope?rid=3978240953-79
171298025234-65,"EUTOP Europe GmbH",19.75,5650000,"Advances interests of their clients",GERMANY,BELGIUM,11,190,,https://www.lobbyfacts.eu/datacard/eutop-europe-gmbh?rid=171298025234-65
7028457765-59,"DGA Group Europe SA",65.75,5575000,"Advances interests of their clients",BELGIUM,BELGIUM,41,359,21,https://www.lobbyfacts.eu/datacard/dga-group-europe-sa?rid=7028457765-59
0649790813-47,"Association des Constructeurs Européens d'Automobiles",19.5,5500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,13,203,244,https://www.lobbyfacts.eu/datacard/association-des-constructeurs-européens-dautomobiles?rid=0649790813-47
38526121292-88,"European Federation of Pharmaceutical Industries and Associations",13.4,5500000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,BELGIUM,10,104,127,https://www.lobbyfacts.eu/datacard/european-federation-of-pharmaceutical-industries-and-associations?rid=38526121292-88
762911995852-52,"Ukrainian Voices",6,5500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/ukrainian-voices?rid=762911995852-52
288119192442-46,EUROFI,3.5,5000000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/eurofi?rid=288119192442-46
366117914426-10,"Amazon Europe Core SARL",7.45,5000000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,LUXEMBOURG,,68,135,https://www.lobbyfacts.eu/datacard/amazon-europe-core-sarl?rid=366117914426-10
404247028091-75,"Trinomics B.V.",25,5000000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,3,https://www.lobbyfacts.eu/datacard/trinomics-bv?rid=404247028091-75
578189413297-97,"FGS Global (Europe) GmbH",25,4750000,"Advances interests of their clients",GERMANY,BELGIUM,7,140,9,https://www.lobbyfacts.eu/datacard/fgs-global-europe-gmbh?rid=578189413297-97
15423437054-40,"Verband der Chemischen Industrie e.V.",20.25,4500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,107,21,https://www.lobbyfacts.eu/datacard/verband-der-chemischen-industrie-ev?rid=15423437054-40
26207914726-42,FuelsEurope,12.75,4500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,14,122,57,https://www.lobbyfacts.eu/datacard/fuelseurope?rid=26207914726-42
454264611835-56,"Plastics Europe",13.75,4500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,8,92,35,https://www.lobbyfacts.eu/datacard/plastics-europe?rid=454264611835-56
65110063986-76,"Association for Financial Markets in Europe",16.75,4500000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,6,88,81,https://www.lobbyfacts.eu/datacard/association-for-financial-markets-in-europe?rid=65110063986-76
7410939793-88,"BASF SE",36.85,4500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,15,176,63,https://www.lobbyfacts.eu/datacard/basf-se?rid=7410939793-88
91124993695-29,"Teneo Brussels",13.5,4355000,"Advances interests of their clients","UNITED STATES",BELGIUM,7,257,42,https://www.lobbyfacts.eu/datacard/teneo-brussels?rid=91124993695-29
718251720163-42,"Flint Europe",32.25,4295000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,18,95,24,https://www.lobbyfacts.eu/datacard/flint-europe?rid=718251720163-42
