EC_or_DG,Name of DG / EC cabinet,Name of EC representative,Name of DG - acronym,Title of EC representative,Transparency register ID,Head Office,Subject of the meeting,Date of meeting,Location,Region,Interest Group Name,Category Broad,Category Detailed
EC,Cabinet of Executive Vice-President Valdis Dombrovskis,Valdis Dombrovskis ,,Executive Vice-President,070028236358-54,NETHERLANDS," semiconductors industry, export controls ",2023-09-18 00:00:00,Brussels,EUROPE,ASML Netherlands B.V. (ASML),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",070028236358-54,NETHERLANDS,semiconductor-related developments ,2023-09-18 00:00:00,brussels,EUROPE,ASML Netherlands B.V. (ASML),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Vice-President Margaritis Schinas,Chris Uregian,,Cabinet member,583393138546-76,GERMANY, eu chips act implementation,2023-09-11 00:00:00,Brussels,EUROPE,Applied Materials (AMAT),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Commissioner Thierry Breton,Fabrice Comptour,,Cabinet member,583393138546-76,GERMANY, eu chips act and semiconductors ,2023-09-06 00:00:00,call,EUROPE,Applied Materials (AMAT),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of Executive Vice-President Margrethe Vestager,Alejandro Cainzos,,Cabinet member,070028236358-54,NETHERLANDS, european semiconductors industry,2023-09-05 00:00:00,Brussels ,EUROPE,ASML Netherlands B.V. (ASML),Semiconductor Industry,Manufacturing Equipment & Design Software
EC,Cabinet of President Ursula von der Leyen,Anthony Whelan,,Cabinet member,97921387213-35,BELGIUM,chips act,2023-08-30 00:00:00,Brussels (vtc),EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
EC,Cabinet of Commissioner Thierry Breton,Thierry Breton,,Commissioner,866541247974-60,UNITED STATES,"semiconductors, ai",2023-06-23 00:00:00,Santa Clara,USA,NVIDIA Corporation,Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,Thierry Breton,,Commissioner,00358442856-45,UNITED STATES," semiconductors, dma, ai",2023-06-22 00:00:00,San Francisco,USA,QUALCOMM Inc. (QCOM (NASDAQ)),Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Executive Vice-President Valdis Dombrovskis,Zaneta Vegnere,,Cabinet member,389630949944-21,FRANCE," semiconductors, access to capital",2023-06-16 00:00:00,Webex,EUROPE,ARDIAN France,Non Semiconductor Industry,Non Semiconductor Industry: Other
EC,Cabinet of Commissioner Thierry Breton,"Fabrice Comptour,Thierry Breton",,"Cabinet member,Commissioner",236569017571-35,FRANCE, microelectronics,2023-06-05 00:00:00,Brussels,EUROPE,Association Nationale des Sociétés par Actions (ANSA),Industry stakeholder,Industry stakeholder
EC,Cabinet of Commissioner Thierry Breton,Fabrice Comptour,,Cabinet member,389630949944-21,FRANCE,semiconductors ,2023-06-02 00:00:00,Brussels,EUROPE,ARDIAN France,Non Semiconductor Industry,Non Semiconductor Industry: Other
EC,Cabinet of Commissioner Thierry Breton,Fabrice Comptour,,Cabinet member,7459401905-60,UNITED STATES,semiconductors ,2023-05-12 00:00:00,videoconference,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Mairead Mcguinness,Patricia Reilly,,Cabinet member,7459401905-60,UNITED STATES, planned expansion of intel's chip manufacturing capacity in europe,2023-05-02 00:00:00,Brussels,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,"Thierry Breton,Fabrice Comptour",,"Commissioner,Cabinet member",809121549545-61,TAIWAN, semiconductors,2023-04-25 00:00:00,Brussels,ASIA,Taiwan Semiconductor Manufacturing Company Ltd (TSMC),Semiconductor Industry,Foundry
EC,Cabinet of Commissioner Thierry Breton,"Joan Canton,Thierry Breton",,"Cabinet member,Commissioner",236869539281-13,DENMARK,revision of the toys safety directive; chips; supply chains,2023-04-25 00:00:00,Brussels,EUROPE,The LEGO Group,Non Semiconductor Industry,Non Semiconductor Industry: Other
EC,Cabinet of Commissioner Thierry Breton,Joan Canton,,Cabinet member,236869539281-13,DENMARK,"preparatory meeting for meeting between ceo of lego and commissioner breton: chips act, metaverse, revision of the toys safety directive",2023-04-05 00:00:00,Videoconference,EUROPE,The LEGO Group,Non Semiconductor Industry,Non Semiconductor Industry: Other
EC,Cabinet of President Ursula von der Leyen,Anthony Whelan,,Cabinet member,97921387213-35,BELGIUM,eu chips act ,2023-03-30 00:00:00,Brussels (VTC) ,EUROPE,Interuniversitair Micro-Electronica Centrum (IMEC),Research and Development,Research and Development
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Pierre-Arnaud Proux,Michele Piergiovanni,Margrethe Vestager",,"Cabinet member,Cabinet member,Executive Vice-President",70843878143-13,FRANCE,semiconductor value chain,2023-03-21 00:00:00,Brussels,EUROPE,STMicroelectronics (ST),Semiconductor Industry,Foundry
EC,Cabinet of Commissioner Thierry Breton,"Eleonora Ocello,Lucia Caudet,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",00358442856-45,UNITED STATES,"telecoms, space and semiconductors policy ",2023-02-27 00:00:00,Barcelona,USA,QUALCOMM Inc. (QCOM (NASDAQ)),Semiconductor Industry,Fabless (Chip Design & IP Holders)
EC,Cabinet of Commissioner Thierry Breton,"Lucia Caudet,Eleonora Ocello,Thierry Breton",,"Cabinet member,Cabinet member,Commissioner",7459401905-60,UNITED STATES,telecoms and semiconductors policy,2023-02-27 00:00:00,Barcelona,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Commissioner Thierry Breton,Fabrice Comptour,,Cabinet member,7459401905-60,UNITED STATES,chips  ,2023-02-07 00:00:00,Videoconference,USA,Intel Corporation,Semiconductor Industry,Integrated Device Manufacturer (IDM)
EC,Cabinet of Executive Vice-President Margrethe Vestager,"Stina Soewarta,Pierre-Arnaud Proux",,"Cabinet member,Cabinet member",236869539281-13,DENMARK,"europe fit for digital age, chips act. ",2023-01-10 00:00:00,online,EUROPE,The LEGO Group,Non Semiconductor Industry,Non Semiconductor Industry: Other
